,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code
89,7/9/14 21:24,7/9/14 21:26,Married,11-15 years,Never,Energy (Natural Gas Storage),Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
91,7/9/14 21:24,7/9/14 21:24,Married,More than 20 years,Never,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
92,7/9/14 21:19,7/9/14 21:20,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,3,3,4
94,7/9/14 21:17,7/9/14 21:17,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$150,000+",Bachelor degree,South Atlantic,0,3,5,4
98,7/9/14 21:15,7/9/14 21:16,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,0,3,3,4
100,7/9/14 21:12,7/9/14 21:14,Married,1-5 years,Never,Production Occupations,Male,45-60,"$150,000+",Some college or Associate degree,South Atlantic,0,3,5,3
101,7/9/14 21:12,7/9/14 21:13,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central,0,3,4,5
103,7/9/14 21:09,7/9/14 21:10,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$150,000+",Bachelor degree,West North Central,0,3,5,4
104,7/9/14 21:09,7/9/14 21:09,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$150,000+",Bachelor degree,Mountain,0,3,5,4
106,7/9/14 21:08,7/9/14 21:09,"Single, but cohabiting with a significant other",1-5 years,Never,Architecture and Engineering Occupations,Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,1,4,5
107,7/9/14 21:08,7/9/14 21:10,Married,11-15 years,Never,i'm disabled,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3
108,7/9/14 21:08,7/9/14 21:09,"Single, but cohabiting with a significant other",6-10 years,Never,Sales and Related Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,0,2,3,3
109,7/9/14 21:06,7/9/14 21:07,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,0,3,4,3
110,7/9/14 21:04,7/9/14 21:05,"Single, but cohabiting with a significant other",6-10 years,Never,Sales and Related Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central,0,3,3,5
111,7/9/14 21:04,7/9/14 21:04,Married,11-15 years,Never,Healthcare Support Occupations,Male,30-44,"$150,000+",Graduate degree,West North Central,0,2,5,5
112,7/9/14 21:03,7/9/14 21:04,Married,More than 20 years,Never,Management Occupations,Male,45-60,Did not disclose,Graduate degree,East North Central,0,3,0,5
113,7/9/14 21:00,7/9/14 21:00,Married,1-5 years,Never,Business and Financial Operations Occupations,Male,30-44,"$150,000+",Bachelor degree,West South Central,0,2,5,4
114,7/9/14 20:59,7/9/14 21:02,Separated,1-5 years,Never,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,3,3,3
115,7/9/14 20:59,7/9/14 21:00,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,0,1,3,4
116,7/9/14 20:57,7/9/14 20:57,Married,16-20 years,Never,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
118,7/9/14 20:56,7/9/14 20:57,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$150,000+",Bachelor degree,Pacific,0,3,5,4
124,7/9/14 20:51,7/9/14 20:57,Married,16-20 years,Never,Management Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,0,3,4,5
125,7/9/14 20:50,7/9/14 20:51,Married,More than 20 years,Never,Business and Financial Operations Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
126,7/9/14 20:49,7/9/14 20:50,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5
129,7/9/14 20:48,7/9/14 20:49,"Single, but cohabiting with a significant other",More than 20 years,Never,Small business owner,Male,45-60,Did not disclose,Some college or Associate degree,Middle Atlantic,0,3,0,3
131,7/9/14 20:47,7/9/14 20:47,Married,More than 20 years,Never,"Farming, Fishing, and Forestry Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
132,7/9/14 20:46,7/9/14 20:47,Married,6-10 years,Never,"Education, Training, and Library Occupations",Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific,0,1,2,3
133,7/9/14 20:46,7/9/14 20:46,Married,More than 20 years,Never,Management Occupations,Male,45-60,Did not disclose,Bachelor degree,West South Central,0,3,0,4
135,7/9/14 20:45,7/9/14 20:47,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central,0,3,4,3
137,7/9/14 20:42,7/9/14 20:43,"Single, but cohabiting with a significant other",16-20 years,Never,Personal Care and Service Occupations,Male,30-44,"$150,000+",Some college or Associate degree,South Atlantic,0,2,5,3
139,7/9/14 20:38,7/9/14 20:39,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,New England,0,3,4,5
140,7/9/14 20:36,7/9/14 20:37,Married,1-5 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,0,2,3,4
141,7/9/14 20:36,7/9/14 20:36,Married,11-15 years,Never,Legal Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific,0,2,4,5
142,7/9/14 20:34,7/9/14 20:35,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$150,000+",Graduate degree,Pacific,0,3,5,5
143,7/9/14 20:32,7/9/14 20:32,Married,More than 20 years,Never,Legal Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
144,7/9/14 20:31,7/9/14 20:32,Married,More than 20 years,Never,Legal Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,Mountain,0,3,4,4
145,7/9/14 20:31,7/9/14 20:32,"Single, but cohabiting with a significant other",6-10 years,Never,Transportation and Materials Moving Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3
146,7/9/14 20:31,7/9/14 20:32,Married,11-15 years,Never,Management Occupations,Male,18-29,"$50,000 - $99,999",High school degree,West South Central,0,1,3,2
147,7/9/14 20:30,7/9/14 20:31,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain,0,3,3,5
148,7/9/14 20:30,7/9/14 20:31,"Single, but cohabiting with a significant other",6-10 years,Never,disabled,Male,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic,0,3,2,4
152,7/9/14 20:27,7/9/14 20:27,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,Did not disclose,Bachelor degree,New England,0,3,0,4
154,7/9/14 20:26,7/9/14 20:27,Married,More than 20 years,Never,retired,Female,> 60,"$150,000+",Graduate degree,Middle Atlantic,1,4,5,5
155,7/9/14 20:26,7/9/14 20:27,Married,6-10 years,Never,Building and Grounds Cleaning and Maintenance Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,2,3,3
156,7/9/14 20:25,7/9/14 20:26,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$150,000+",Bachelor degree,Mountain,0,3,5,4
157,7/9/14 20:25,7/9/14 20:26,"Single, but cohabiting with a significant other",Less than 1 year,Never,Architecture and Engineering Occupations,Male,18-29,"$50,000 - $99,999",High school degree,Pacific,0,1,3,2
158,7/9/14 20:24,7/9/14 20:25,Married,More than 20 years,Never,Legal Occupations,Male,30-44,Did not disclose,Graduate degree,West South Central,0,2,0,5
162,7/9/14 20:22,7/9/14 20:23,Married,11-15 years,Never,Office and Administrative Support Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,3,3,3
166,7/9/14 20:18,7/9/14 20:19,Married,More than 20 years,Never,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
168,7/9/14 20:18,7/9/14 20:19,Married,11-15 years,Never,"Installation, Maintenance, and Repair Occupations",Male,30-44,Did not disclose,Some college or Associate degree,East North Central,0,2,0,3
169,7/9/14 20:18,7/9/14 20:19,In a domestic partnership or civil union,1-5 years,Never,Healthcare Support Occupations,Female,> 60,Did not disclose,Some college or Associate degree,South Atlantic,1,4,0,3
176,7/9/14 20:15,7/9/14 20:17,Married,11-15 years,Never,Food Preparation and Serving Related Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,2,3,3
177,7/9/14 20:14,7/9/14 20:15,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central,0,2,2,3
178,7/9/14 20:14,7/9/14 20:15,Married,1-5 years,Never,Protective Service Occupations,Male,45-60,"$0 - $24,999",High school degree,New England,0,3,1,2
181,7/9/14 20:13,7/9/14 20:14,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$25,000 - $49,999",Graduate degree,West North Central,1,4,2,5
185,7/9/14 20:12,7/9/14 20:13,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,New England,0,3,4,4
186,7/9/14 20:11,7/9/14 20:12,Divorced,1-5 years,Never,Food Preparation and Serving Related Occupations,Female,> 60,Did not disclose,High school degree,New England,1,4,0,2
187,7/9/14 20:11,7/9/14 20:12,Married,16-20 years,Never,Community and Social Service Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,0,3,3,4
188,7/9/14 20:10,7/9/14 20:11,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,4,3,4
196,7/9/14 20:07,7/9/14 20:09,In a domestic partnership or civil union,11-15 years,Never,Sales and Related Occupations,Male,30-44,"$150,000+",Some college or Associate degree,South Atlantic,0,2,5,3
200,7/9/14 20:05,7/9/14 20:06,Married,16-20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$150,000+",Graduate degree,West North Central,0,3,5,5
201,7/9/14 20:05,7/9/14 20:05,Married,More than 20 years,Never,Healthcare Support Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,Pacific,0,4,4,4
202,7/9/14 20:05,7/9/14 20:06,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Bachelor degree,East South Central,1,4,0,4
207,7/9/14 20:02,7/9/14 20:04,Married,More than 20 years,Never,Wood product industry- manufacturing,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific,0,3,3,4
212,7/9/14 20:01,7/9/14 20:02,Widowed,1-5 years,Never,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,4,3,4
214,7/9/14 20:01,7/9/14 20:02,Married,More than 20 years,Never,Retired Management,Female,> 60,"$100,000 - $149,999",Bachelor degree,New England,1,4,4,4
218,7/9/14 19:58,7/9/14 19:59,Married,More than 20 years,Never,police,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific,0,4,4,3
219,7/9/14 19:57,7/9/14 19:58,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Graduate degree,West South Central,1,4,0,5
220,7/9/14 19:57,7/9/14 19:58,Married,More than 20 years,Never,Caregiver,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,4,2,3
221,7/9/14 19:57,7/9/14 19:59,"Single, but cohabiting with a significant other",Less than 1 year,Never,"Education, Training, and Library Occupations",Male,18-29,"$0 - $24,999",Less than high school degree,East North Central,0,1,1,1
226,7/9/14 19:55,7/9/14 19:56,Married,More than 20 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
229,7/9/14 19:55,7/9/14 19:55,Married,11-15 years,Never,Computer and Mathematical Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,0,4,4,4
230,7/9/14 19:55,7/9/14 19:55,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
232,7/9/14 19:54,7/9/14 19:55,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,4,4,3
235,7/9/14 19:54,7/9/14 19:54,Married,16-20 years,Never,Management Occupations,Male,30-44,Did not disclose,Some college or Associate degree,Pacific,0,2,0,3
236,7/9/14 19:53,7/9/14 19:55,Married,More than 20 years,Never,Sales and Related Occupations,Male,> 60,Did not disclose,Some college or Associate degree,West North Central,0,4,0,3
238,7/9/14 19:53,7/9/14 19:55,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,0,4,3,5
239,7/9/14 19:53,7/9/14 19:55,"Single, but cohabiting with a significant other",More than 20 years,Never,government grant,Male,45-60,Did not disclose,Bachelor degree,East North Central,0,3,0,4
240,7/9/14 19:53,7/9/14 19:54,Married,6-10 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,1,2,4,5
241,7/9/14 19:53,7/9/14 19:54,"Single, but cohabiting with a significant other",1-5 years,Never,Architecture and Engineering Occupations,Female,18-29,"$100,000 - $149,999",Bachelor degree,Pacific,1,1,4,4
250,7/9/14 19:52,7/9/14 19:53,Married,16-20 years,Never,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central,0,2,4,5
251,7/9/14 19:52,7/9/14 19:52,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$150,000+",Bachelor degree,East North Central,1,2,5,4
252,7/9/14 19:51,7/9/14 19:52,"Single, but cohabiting with a significant other",1-5 years,Never,"Education, Training, and Library Occupations",Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,0,1,2,4
253,7/9/14 19:51,7/9/14 19:53,Married,16-20 years,Never,Locksmith,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central,0,4,2,3
255,7/9/14 19:51,7/9/14 19:52,Married,6-10 years,Never,"Life, Physical, and Social Science Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,New England,0,2,3,5
256,7/9/14 19:51,7/9/14 19:52,Married,11-15 years,Never,"Life, Physical, and Social Science Occupations",Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,4,3,5
262,7/9/14 19:50,7/9/14 19:51,Divorced,11-15 years,Never,retired,Female,> 60,"$50,000 - $99,999",Bachelor degree,Mountain,1,4,3,4
264,7/9/14 19:50,7/9/14 19:51,Married,1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,2,3,3
270,7/9/14 19:49,7/9/14 19:49,Married,11-15 years,Never,"Education, Training, and Library Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
272,7/9/14 19:48,7/9/14 19:49,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3
273,7/9/14 19:49,7/9/14 19:50,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central,0,3,4,3
274,7/9/14 19:49,7/9/14 19:50,Married,11-15 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,1,2,3,4
276,7/9/14 19:49,7/9/14 19:49,Married,16-20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,Pacific,0,3,4,5
277,7/9/14 19:48,7/9/14 19:49,Married,More than 20 years,Never,Legal Occupations,Male,> 60,"$150,000+",Graduate degree,West North Central,0,4,5,5
282,7/9/14 19:47,7/9/14 19:48,Married,11-15 years,Never,Government,Male,45-60,Did not disclose,Graduate degree,South Atlantic,0,3,0,5
284,7/9/14 19:47,7/9/14 19:48,Married,More than 20 years,Never,outdoor power equipment sales and service,Male,45-60,"$50,000 - $99,999",High school degree,New England,0,3,3,2
288,7/9/14 19:46,7/9/14 19:47,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$150,000+",Graduate degree,South Atlantic,0,3,5,5
290,7/9/14 19:44,7/9/14 19:55,Married,11-15 years,Never,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,2,3,3
292,7/9/14 19:44,7/9/14 19:45,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Graduate degree,New England,0,4,0,5
294,7/9/14 19:43,7/9/14 19:45,Married,More than 20 years,Never,Retired,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
296,7/9/14 19:44,7/9/14 19:44,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,East North Central,1,3,3,5
297,7/9/14 19:44,7/9/14 19:44,Married,6-10 years,Never,Healthcare Support Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,0,3,3,5
298,7/9/14 19:44,7/9/14 19:44,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
300,7/9/14 19:43,7/9/14 19:44,"Single, but cohabiting with a significant other",6-10 years,Never,Food Preparation and Serving Related Occupations,Male,30-44,Did not disclose,Bachelor degree,East North Central,0,2,0,4
302,7/9/14 19:43,7/9/14 19:44,Divorced,1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific,1,2,2,3
