,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,RelationshipLength_code,Frequency in separate beds_code,sleep together?
12,Married,16-20 years,Never,Protective Service Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,2,3,4,4.0,0.0,1.0
13,Married,6-10 years,Once a month or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central,0,2,4,4,2.0,2.0,0.0
14,Married,6-10 years,Never,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific,0,2,4,5,2.0,0.0,1.0
15,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England,0,2,4,3,5.0,0.0,1.0
16,Married,16-20 years,A few times per week,Healthcare Practitioners and Technical Occupations,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain,0,2,3,5,4.0,4.0,0.0
17,Married,6-10 years,Once a year or less,fire service,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain,0,2,3,3,2.0,1.0,0.0
18,In a domestic partnership or civil union,1-5 years,A few times per week,Aviation customer service,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,0,2,4,5,1.0,4.0,0.0
19,In a domestic partnership or civil union,1-5 years,Never,"Installation, Maintenance, and Repair Occupations",Male,30-44,Did not disclose,Bachelor degree,Mountain,0,2,0,4,1.0,0.0,1.0
20,Married,11-15 years,Never,Legal Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,3.0,0.0,1.0
21,Married,6-10 years,Never,"Education, Training, and Library Occupations",Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,1,3,4,2.0,0.0,1.0
22,Married,11-15 years,Never,Construction and Extraction Occupations,Male,30-44,"$25,000 - $49,999",High school degree,East South Central,0,2,2,2,3.0,0.0,1.0
23,Married,1-5 years,Never,Construction and Extraction Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain,0,2,3,4,1.0,0.0,1.0
24,Married,16-20 years,Never,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,2,3,3,4.0,0.0,1.0
25,"Single, but cohabiting with a significant other",1-5 years,Never,Did not disclose,Male,18-29,Did not disclose,Did not disclose,Mountain,0,1,0,0,1.0,0.0,1.0
26,Married,11-15 years,Never,Retired Military,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,0,2,3,4,3.0,0.0,1.0
27,In a domestic partnership or civil union,11-15 years,Never,Sales and Related Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,0,2,4,5,3.0,0.0,1.0
28,"Single, but cohabiting with a significant other",1-5 years,Never,"Education, Training, and Library Occupations",Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,0,1,3,4,1.0,0.0,1.0
29,Married,6-10 years,Never,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,2,3,3,2.0,0.0,1.0
30,Married,1-5 years,Never,Business and Financial Operations Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain,0,2,3,4,1.0,0.0,1.0
31,Married,1-5 years,A few times per week,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain,0,2,3,5,1.0,4.0,0.0
32,Married,11-15 years,A few times per month,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain,0,2,4,4,3.0,3.0,0.0
33,"Single, but cohabiting with a significant other",1-5 years,Never,Legal Occupations,Male,18-29,"$100,000 - $149,999",Graduate degree,Pacific,0,1,4,5,1.0,0.0,1.0
34,Married,11-15 years,Never,Construction and Extraction Occupations,Male,30-44,Did not disclose,Bachelor degree,New England,0,2,0,4,3.0,0.0,1.0
35,Married,16-20 years,Once a year or less,"Education, Training, and Library Occupations",Male,30-44,Did not disclose,Bachelor degree,Mountain,0,2,0,4,4.0,1.0,0.0
36,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,Data Entry for a Marketing Company,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,0,2,3,4,2.0,2.0,0.0
37,Married,16-20 years,A few times per week,Sales and Related Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central,0,2,4,4,4.0,4.0,0.0
38,Married,11-15 years,A few times per week,Transportation and Materials Moving Occupations,Male,30-44,Did not disclose,Bachelor degree,South Atlantic,0,2,0,4,3.0,4.0,0.0
39,Married,6-10 years,Once a month or less,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England,0,2,4,3,2.0,2.0,0.0
40,Married,11-15 years,Never,Building and Grounds Cleaning and Maintenance Occupations,Male,30-44,"$25,000 - $49,999",High school degree,Middle Atlantic,0,2,2,2,3.0,0.0,1.0
41,Married,11-15 years,Once a month or less,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central,0,2,3,5,3.0,2.0,0.0
42,Married,11-15 years,Never,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central,0,2,3,5,3.0,0.0,1.0
43,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,Business and Financial Operations Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,New England,0,1,3,4,1.0,1.0,0.0
44,Married,11-15 years,Once a month or less,Computer and Mathematical Occupations,Male,30-44,"$150,000+",Graduate degree,Pacific,0,2,5,5,3.0,2.0,0.0
45,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,Did not disclose,Bachelor degree,Middle Atlantic,0,2,0,4,5.0,0.0,1.0
46,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Sales and Related Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain,0,1,2,3,2.0,1.0,0.0
47,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Male,30-44,Did not disclose,Graduate degree,West North Central,0,2,0,5,5.0,1.0,0.0
48,Married,6-10 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,2.0,0.0,1.0
49,Married,6-10 years,Never,Sales and Related Occupations,Male,30-44,Did not disclose,Bachelor degree,Pacific,0,2,0,4,2.0,0.0,1.0
50,Married,11-15 years,Once a year or less,Transportation and Materials Moving Occupations,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central,0,2,2,3,3.0,1.0,0.0
51,Married,6-10 years,Never,"Education, Training, and Library Occupations",Male,18-29,"$50,000 - $99,999",Bachelor degree,New England,0,1,3,4,2.0,0.0,1.0
52,In a domestic partnership or civil union,11-15 years,A few times per week,Property Management; Desk Clerk,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific,0,2,2,3,3.0,4.0,0.0
53,"Single, but cohabiting with a significant other",Less than 1 year,Never,Architecture and Engineering Occupations,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,0,1,2,4,0.0,0.0,1.0
54,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Construction and Extraction Occupations,Male,18-29,Did not disclose,High school degree,West South Central,0,1,0,2,1.0,2.0,0.0
55,"Single, but cohabiting with a significant other",1-5 years,Never,Food Preparation and Serving Related Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,1.0,0.0,1.0
56,Married,16-20 years,Once a month or less,All of the above: Homemaker,Male,30-44,"$150,000+",Some college or Associate degree,Pacific,0,2,5,3,4.0,2.0,0.0
57,"Single, but cohabiting with a significant other",1-5 years,Never,"Life, Physical, and Social Science Occupations",Male,18-29,Did not disclose,Bachelor degree,Middle Atlantic,0,1,0,4,1.0,0.0,1.0
58,Married,1-5 years,Never,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Mountain,0,2,4,5,1.0,0.0,1.0
59,Married,6-10 years,Never,Computer and Mathematical Occupations,Male,30-44,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,2,2,4,2.0,0.0,1.0
60,Widowed,1-5 years,Never,"Farming, Fishing, and Forestry Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1.0,0.0,1.0
61,Married,More than 20 years,Never,Healthcare Support Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain,0,2,4,4,5.0,0.0,1.0
62,Married,6-10 years,Once a month or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,Did not disclose,Some college or Associate degree,Mountain,0,2,0,3,2.0,2.0,0.0
63,"Single, but cohabiting with a significant other",Less than 1 year,Every night,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,18-29,Did not disclose,High school degree,East North Central,0,1,0,2,0.0,5.0,0.0
64,Married,6-10 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Male,30-44,"$150,000+",Graduate degree,Pacific,0,2,5,5,2.0,1.0,0.0
65,Married,6-10 years,Never,Architecture and Engineering Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,East South Central,0,1,3,4,2.0,0.0,1.0
66,Married,6-10 years,Once a year or less,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,0,2,4,4,2.0,1.0,0.0
67,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central,0,1,2,3,1.0,0.0,1.0
68,Married,11-15 years,Once a year or less,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,2,3,3,3.0,1.0,0.0
69,Married,16-20 years,Never,Sales and Related Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,0,2,4,4,4.0,0.0,1.0
70,Married,11-15 years,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,3.0,5.0,0.0
71,Married,6-10 years,A few times per month,"Life, Physical, and Social Science Occupations",Male,18-29,"$50,000 - $99,999",Graduate degree,Mountain,0,1,3,5,2.0,3.0,0.0
72,Married,16-20 years,Once a year or less,Architecture and Engineering Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central,0,2,4,4,4.0,1.0,0.0
73,Married,6-10 years,Never,Computer and Mathematical Occupations,Male,30-44,Did not disclose,Bachelor degree,Pacific,0,2,0,4,2.0,0.0,1.0
74,Married,1-5 years,Never,Retired,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central,0,2,2,3,1.0,0.0,1.0
75,Married,More than 20 years,Every night,Sales and Related Occupations,Male,45-60,Did not disclose,Graduate degree,East North Central,0,3,0,5,5.0,5.0,0.0
76,Married,More than 20 years,Never,Management Occupations,Male,45-60,Did not disclose,High school degree,West South Central,0,3,0,2,5.0,0.0,1.0
77,Married,16-20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Pacific,0,3,4,3,4.0,0.0,1.0
78,Married,16-20 years,Once a month or less,Healthcare Practitioners and Technical Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,New England,0,3,3,5,4.0,2.0,0.0
79,"Single, but cohabiting with a significant other",Less than 1 year,Never,retired,Male,30-44,Did not disclose,Bachelor degree,Pacific,0,2,0,4,0.0,0.0,1.0
80,Married,11-15 years,Never,military,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,0,2,4,4,3.0,0.0,1.0
81,Married,1-5 years,Every night,Business and Financial Operations Occupations,Male,18-29,"$150,000+",Graduate degree,Middle Atlantic,0,1,5,5,1.0,5.0,0.0
82,Married,16-20 years,Never,retired,Male,30-44,"$25,000 - $49,999",High school degree,Pacific,0,2,2,2,4.0,0.0,1.0
83,Married,11-15 years,A few times per month,Building and Grounds Cleaning and Maintenance Occupations,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,West North Central,0,3,2,3,3.0,3.0,0.0
84,Married,11-15 years,Once a year or less,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central,0,2,4,4,3.0,1.0,0.0
85,Married,11-15 years,Never,Production Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,3.0,0.0,1.0
86,Married,11-15 years,Never,Production Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,3.0,0.0,1.0
87,Married,6-10 years,A few times per month,Business and Financial Operations Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,0,2,3,3,2.0,3.0,0.0
88,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$100,000 - $149,999",Bachelor degree,New England,0,3,4,4,5.0,0.0,1.0
89,Married,11-15 years,Never,Energy (Natural Gas Storage),Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,3.0,0.0,1.0
90,Married,1-5 years,Once a year or less,Computer and Mathematical Occupations,Male,18-29,"$150,000+",Bachelor degree,East North Central,0,1,5,4,1.0,1.0,0.0
91,Married,More than 20 years,Never,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
92,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,3,3,4,5.0,0.0,1.0
93,"Single, but cohabiting with a significant other",,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
94,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$150,000+",Bachelor degree,South Atlantic,0,3,5,4,5.0,0.0,1.0
95,Married,More than 20 years,Once a year or less,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,1.0,0.0
96,Married,More than 20 years,A few times per month,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,West North Central,0,3,4,4,5.0,3.0,0.0
97,Married,1-5 years,Once a month or less,Legal Occupations,Male,18-29,"$150,000+",Graduate degree,West South Central,0,1,5,5,1.0,2.0,0.0
98,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,0,3,3,4,5.0,0.0,1.0
99,In a domestic partnership or civil union,1-5 years,Every night,Management Occupations,Female,18-29,Did not disclose,Bachelor degree,South Atlantic,1,1,0,4,1.0,5.0,0.0
100,Married,1-5 years,Never,Production Occupations,Male,45-60,"$150,000+",Some college or Associate degree,South Atlantic,0,3,5,3,1.0,0.0,1.0
101,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central,0,3,4,5,5.0,0.0,1.0
102,In a domestic partnership or civil union,1-5 years,A few times per month,Office and Administrative Support Occupations,Male,30-44,"$0 - $24,999",Bachelor degree,Pacific,0,2,1,4,1.0,3.0,0.0
103,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$150,000+",Bachelor degree,West North Central,0,3,5,4,5.0,0.0,1.0
104,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$150,000+",Bachelor degree,Mountain,0,3,5,4,5.0,0.0,1.0
105,Married,11-15 years,A few times per month,Healthcare Practitioners and Technical Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,3,2,4,3.0,3.0,0.0
106,"Single, but cohabiting with a significant other",1-5 years,Never,Architecture and Engineering Occupations,Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,1,4,5,1.0,0.0,1.0
107,Married,11-15 years,Never,i'm disabled,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,3.0,0.0,1.0
108,"Single, but cohabiting with a significant other",6-10 years,Never,Sales and Related Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,0,2,3,3,2.0,0.0,1.0
109,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,0,3,4,3,5.0,0.0,1.0
110,"Single, but cohabiting with a significant other",6-10 years,Never,Sales and Related Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central,0,3,3,5,2.0,0.0,1.0
111,Married,11-15 years,Never,Healthcare Support Occupations,Male,30-44,"$150,000+",Graduate degree,West North Central,0,2,5,5,3.0,0.0,1.0
112,Married,More than 20 years,Never,Management Occupations,Male,45-60,Did not disclose,Graduate degree,East North Central,0,3,0,5,5.0,0.0,1.0
113,Married,1-5 years,Never,Business and Financial Operations Occupations,Male,30-44,"$150,000+",Bachelor degree,West South Central,0,2,5,4,1.0,0.0,1.0
114,Separated,1-5 years,Never,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,3,3,3,1.0,0.0,1.0
115,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,0,1,3,4,1.0,0.0,1.0
116,Married,16-20 years,Never,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,4.0,0.0,1.0
117,Married,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
118,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$150,000+",Bachelor degree,Pacific,0,3,5,4,5.0,0.0,1.0
119,Married,1-5 years,Every night,"Retired, Law Enforcement",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,3,4,3,1.0,5.0,0.0
120,In a domestic partnership or civil union,11-15 years,Once a year or less,Cosemtologist,Male,45-60,"$100,000 - $149,999",High school degree,South Atlantic,0,3,4,2,3.0,1.0,0.0
121,Married,1-5 years,Once a month or less,Management Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,Mountain,0,1,3,4,1.0,2.0,0.0
122,Married,11-15 years,A few times per week,Production Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Did not disclose,0,2,3,3,3.0,4.0,0.0
123,Married,11-15 years,Once a month or less,Construction and Extraction Occupations,Male,30-44,"$150,000+",Graduate degree,Middle Atlantic,0,2,5,5,3.0,2.0,0.0
124,Married,16-20 years,Never,Management Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,0,3,4,5,4.0,0.0,1.0
125,Married,More than 20 years,Never,Business and Financial Operations Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
126,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5,5.0,0.0,1.0
127,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,Non-profit Management,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central,0,1,3,4,2.0,2.0,0.0
128,Married,More than 20 years,Every night,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,0,3,4,3,5.0,5.0,0.0
129,"Single, but cohabiting with a significant other",More than 20 years,Never,Small business owner,Male,45-60,Did not disclose,Some college or Associate degree,Middle Atlantic,0,3,0,3,5.0,0.0,1.0
130,Married,More than 20 years,Every night,Architecture and Engineering Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3,5.0,5.0,0.0
131,Married,More than 20 years,Never,"Farming, Fishing, and Forestry Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
132,Married,6-10 years,Never,"Education, Training, and Library Occupations",Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific,0,1,2,3,2.0,0.0,1.0
133,Married,More than 20 years,Never,Management Occupations,Male,45-60,Did not disclose,Bachelor degree,West South Central,0,3,0,4,5.0,0.0,1.0
134,Married,More than 20 years,Every night,Community and Social Service Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,Mountain,0,3,3,4,5.0,5.0,0.0
135,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central,0,3,4,3,5.0,0.0,1.0
136,Married,6-10 years,Once a month or less,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,2,3,3,2.0,2.0,0.0
137,"Single, but cohabiting with a significant other",16-20 years,Never,Personal Care and Service Occupations,Male,30-44,"$150,000+",Some college or Associate degree,South Atlantic,0,2,5,3,4.0,0.0,1.0
138,Married,16-20 years,A few times per week,Homemaker,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,0,2,3,4,4.0,4.0,0.0
139,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,New England,0,3,4,5,5.0,0.0,1.0
140,Married,1-5 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,0,2,3,4,1.0,0.0,1.0
141,Married,11-15 years,Never,Legal Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific,0,2,4,5,3.0,0.0,1.0
142,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$150,000+",Graduate degree,Pacific,0,3,5,5,5.0,0.0,1.0
143,Married,More than 20 years,Never,Legal Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
144,Married,More than 20 years,Never,Legal Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,Mountain,0,3,4,4,5.0,0.0,1.0
145,"Single, but cohabiting with a significant other",6-10 years,Never,Transportation and Materials Moving Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3,2.0,0.0,1.0
146,Married,11-15 years,Never,Management Occupations,Male,18-29,"$50,000 - $99,999",High school degree,West South Central,0,1,3,2,3.0,0.0,1.0
147,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain,0,3,3,5,5.0,0.0,1.0
148,"Single, but cohabiting with a significant other",6-10 years,Never,disabled,Male,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic,0,3,2,4,2.0,0.0,1.0
149,Married,More than 20 years,A few times per month,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,0,3,4,3,5.0,3.0,0.0
150,"Single, but cohabiting with a significant other",11-15 years,Once a month or less,Community and Social Service Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,3,4,3,3.0,2.0,0.0
151,Married,11-15 years,A few times per month,Construction and Extraction Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain,0,2,3,3,3.0,3.0,0.0
152,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,Did not disclose,Bachelor degree,New England,0,3,0,4,5.0,0.0,1.0
153,"Single, but cohabiting with a significant other",1-5 years,Every night,Office and Administrative Support Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,3,2,4,1.0,5.0,0.0
154,Married,More than 20 years,Never,retired,Female,> 60,"$150,000+",Graduate degree,Middle Atlantic,1,4,5,5,5.0,0.0,1.0
155,Married,6-10 years,Never,Building and Grounds Cleaning and Maintenance Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,2,3,3,2.0,0.0,1.0
156,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$150,000+",Bachelor degree,Mountain,0,3,5,4,5.0,0.0,1.0
157,"Single, but cohabiting with a significant other",Less than 1 year,Never,Architecture and Engineering Occupations,Male,18-29,"$50,000 - $99,999",High school degree,Pacific,0,1,3,2,0.0,0.0,1.0
158,Married,More than 20 years,Never,Legal Occupations,Male,30-44,Did not disclose,Graduate degree,West South Central,0,2,0,5,5.0,0.0,1.0
159,Married,11-15 years,Once a year or less,Computer and Mathematical Occupations,Male,30-44,Did not disclose,Some college or Associate degree,East North Central,0,2,0,3,3.0,1.0,0.0
160,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,> 60,"$50,000 - $99,999",Bachelor degree,West North Central,1,4,3,4,5.0,1.0,0.0
161,Married,More than 20 years,Every night,Management Occupations,Male,45-60,"$150,000+",Bachelor degree,East North Central,0,3,5,4,5.0,5.0,0.0
162,Married,11-15 years,Never,Office and Administrative Support Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,3,3,3,3.0,0.0,1.0
163,"Single, but cohabiting with a significant other",More than 20 years,A few times per month,Community and Social Service Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,2,3,3,5.0,3.0,0.0
164,"Single, but cohabiting with a significant other",11-15 years,Once a year or less,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,2,3,5,3.0,1.0,0.0
165,Married,More than 20 years,Every night,Environmental consultants,Female,> 60,"$100,000 - $149,999",Bachelor degree,Pacific,1,4,4,4,5.0,5.0,0.0
166,Married,More than 20 years,Never,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
167,Married,More than 20 years,Every night,Office and Administrative Support Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,4,3,3,5.0,5.0,0.0
