,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,sleep together?
42,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,Business and Financial Operations Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,New England,0,1,3,4,0
43,Married,11-15 years,Once a month or less,Computer and Mathematical Occupations,Male,30-44,"$150,000+",Graduate degree,Pacific,0,2,5,5,0
44,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,Did not disclose,Bachelor degree,Middle Atlantic,0,2,0,4,1
45,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Sales and Related Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain,0,1,2,3,0
46,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Male,30-44,Did not disclose,Graduate degree,West North Central,0,2,0,5,0
47,Married,6-10 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
48,Married,6-10 years,Never,Sales and Related Occupations,Male,30-44,Did not disclose,Bachelor degree,Pacific,0,2,0,4,1
49,Married,11-15 years,Once a year or less,Transportation and Materials Moving Occupations,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central,0,2,2,3,0
50,Married,6-10 years,Never,"Education, Training, and Library Occupations",Male,18-29,"$50,000 - $99,999",Bachelor degree,New England,0,1,3,4,1
51,In a domestic partnership or civil union,11-15 years,A few times per week,Property Management; Desk Clerk,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific,0,2,2,3,0
52,"Single, but cohabiting with a significant other",Less than 1 year,Never,Architecture and Engineering Occupations,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,0,1,2,4,1
53,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Construction and Extraction Occupations,Male,18-29,Did not disclose,High school degree,West South Central,0,1,0,2,0
54,"Single, but cohabiting with a significant other",1-5 years,Never,Food Preparation and Serving Related Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,1
55,Married,16-20 years,Once a month or less,All of the above: Homemaker,Male,30-44,"$150,000+",Some college or Associate degree,Pacific,0,2,5,3,0
56,"Single, but cohabiting with a significant other",1-5 years,Never,"Life, Physical, and Social Science Occupations",Male,18-29,Did not disclose,Bachelor degree,Middle Atlantic,0,1,0,4,1
57,Married,1-5 years,Never,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Mountain,0,2,4,5,1
58,Married,6-10 years,Never,Computer and Mathematical Occupations,Male,30-44,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,2,2,4,1
59,Widowed,1-5 years,Never,"Farming, Fishing, and Forestry Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
60,Married,More than 20 years,Never,Healthcare Support Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain,0,2,4,4,1
61,Married,6-10 years,Once a month or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,Did not disclose,Some college or Associate degree,Mountain,0,2,0,3,0
62,"Single, but cohabiting with a significant other",Less than 1 year,Every night,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,18-29,Did not disclose,High school degree,East North Central,0,1,0,2,0
63,Married,6-10 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Male,30-44,"$150,000+",Graduate degree,Pacific,0,2,5,5,0
64,Married,6-10 years,Never,Architecture and Engineering Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,East South Central,0,1,3,4,1
65,Married,6-10 years,Once a year or less,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,0,2,4,4,0
66,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central,0,1,2,3,1
67,Married,11-15 years,Once a year or less,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,2,3,3,0
68,Married,16-20 years,Never,Sales and Related Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,0,2,4,4,1
69,Married,11-15 years,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
70,Married,6-10 years,A few times per month,"Life, Physical, and Social Science Occupations",Male,18-29,"$50,000 - $99,999",Graduate degree,Mountain,0,1,3,5,0
71,Married,16-20 years,Once a year or less,Architecture and Engineering Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central,0,2,4,4,0
72,Married,6-10 years,Never,Computer and Mathematical Occupations,Male,30-44,Did not disclose,Bachelor degree,Pacific,0,2,0,4,1
73,Married,1-5 years,Never,Retired,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central,0,2,2,3,1
74,Married,More than 20 years,Every night,Sales and Related Occupations,Male,45-60,Did not disclose,Graduate degree,East North Central,0,3,0,5,0
75,Married,More than 20 years,Never,Management Occupations,Male,45-60,Did not disclose,High school degree,West South Central,0,3,0,2,1
76,Married,16-20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Pacific,0,3,4,3,1
77,Married,16-20 years,Once a month or less,Healthcare Practitioners and Technical Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,New England,0,3,3,5,0
78,"Single, but cohabiting with a significant other",Less than 1 year,Never,retired,Male,30-44,Did not disclose,Bachelor degree,Pacific,0,2,0,4,1
79,Married,11-15 years,Never,military,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,0,2,4,4,1
80,Married,1-5 years,Every night,Business and Financial Operations Occupations,Male,18-29,"$150,000+",Graduate degree,Middle Atlantic,0,1,5,5,0
81,Married,16-20 years,Never,retired,Male,30-44,"$25,000 - $49,999",High school degree,Pacific,0,2,2,2,1
82,Married,11-15 years,A few times per month,Building and Grounds Cleaning and Maintenance Occupations,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,West North Central,0,3,2,3,0
83,Married,11-15 years,Once a year or less,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central,0,2,4,4,0
84,Married,11-15 years,Never,Production Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
85,Married,11-15 years,Never,Production Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
86,Married,6-10 years,A few times per month,Business and Financial Operations Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,0,2,3,3,0
87,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$100,000 - $149,999",Bachelor degree,New England,0,3,4,4,1
88,Married,11-15 years,Never,Energy (Natural Gas Storage),Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
89,Married,1-5 years,Once a year or less,Computer and Mathematical Occupations,Male,18-29,"$150,000+",Bachelor degree,East North Central,0,1,5,4,0
90,Married,More than 20 years,Never,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
91,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,3,3,4,1
92,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$150,000+",Bachelor degree,South Atlantic,0,3,5,4,1
93,Married,More than 20 years,Once a year or less,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
94,Married,More than 20 years,A few times per month,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,West North Central,0,3,4,4,0
95,Married,1-5 years,Once a month or less,Legal Occupations,Male,18-29,"$150,000+",Graduate degree,West South Central,0,1,5,5,0
96,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,0,3,3,4,1
97,In a domestic partnership or civil union,1-5 years,Every night,Management Occupations,Female,18-29,Did not disclose,Bachelor degree,South Atlantic,1,1,0,4,0
98,Married,1-5 years,Never,Production Occupations,Male,45-60,"$150,000+",Some college or Associate degree,South Atlantic,0,3,5,3,1
99,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central,0,3,4,5,1
100,In a domestic partnership or civil union,1-5 years,A few times per month,Office and Administrative Support Occupations,Male,30-44,"$0 - $24,999",Bachelor degree,Pacific,0,2,1,4,0
101,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$150,000+",Bachelor degree,West North Central,0,3,5,4,1
102,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$150,000+",Bachelor degree,Mountain,0,3,5,4,1
103,Married,11-15 years,A few times per month,Healthcare Practitioners and Technical Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,3,2,4,0
104,"Single, but cohabiting with a significant other",1-5 years,Never,Architecture and Engineering Occupations,Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,1,4,5,1
105,Married,11-15 years,Never,i'm disabled,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,1
106,"Single, but cohabiting with a significant other",6-10 years,Never,Sales and Related Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,0,2,3,3,1
107,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,0,3,4,3,1
108,"Single, but cohabiting with a significant other",6-10 years,Never,Sales and Related Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central,0,3,3,5,1
109,Married,11-15 years,Never,Healthcare Support Occupations,Male,30-44,"$150,000+",Graduate degree,West North Central,0,2,5,5,1
110,Married,More than 20 years,Never,Management Occupations,Male,45-60,Did not disclose,Graduate degree,East North Central,0,3,0,5,1
111,Married,1-5 years,Never,Business and Financial Operations Occupations,Male,30-44,"$150,000+",Bachelor degree,West South Central,0,2,5,4,1
112,Separated,1-5 years,Never,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,3,3,3,1
113,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,0,1,3,4,1
114,Married,16-20 years,Never,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
115,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$150,000+",Bachelor degree,Pacific,0,3,5,4,1
116,Married,1-5 years,Every night,"Retired, Law Enforcement",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,3,4,3,0
117,In a domestic partnership or civil union,11-15 years,Once a year or less,Cosemtologist,Male,45-60,"$100,000 - $149,999",High school degree,South Atlantic,0,3,4,2,0
118,Married,1-5 years,Once a month or less,Management Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,Mountain,0,1,3,4,0
119,Married,11-15 years,A few times per week,Production Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Did not disclose,0,2,3,3,0
120,Married,11-15 years,Once a month or less,Construction and Extraction Occupations,Male,30-44,"$150,000+",Graduate degree,Middle Atlantic,0,2,5,5,0
121,Married,16-20 years,Never,Management Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,0,3,4,5,1
122,Married,More than 20 years,Never,Business and Financial Operations Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
123,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5,1
124,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,Non-profit Management,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central,0,1,3,4,0
125,Married,More than 20 years,Every night,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,0,3,4,3,0
126,"Single, but cohabiting with a significant other",More than 20 years,Never,Small business owner,Male,45-60,Did not disclose,Some college or Associate degree,Middle Atlantic,0,3,0,3,1
127,Married,More than 20 years,Every night,Architecture and Engineering Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3,0
128,Married,More than 20 years,Never,"Farming, Fishing, and Forestry Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
129,Married,6-10 years,Never,"Education, Training, and Library Occupations",Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific,0,1,2,3,1
130,Married,More than 20 years,Never,Management Occupations,Male,45-60,Did not disclose,Bachelor degree,West South Central,0,3,0,4,1
131,Married,More than 20 years,Every night,Community and Social Service Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,Mountain,0,3,3,4,0
132,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central,0,3,4,3,1
133,Married,6-10 years,Once a month or less,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,2,3,3,0
134,"Single, but cohabiting with a significant other",16-20 years,Never,Personal Care and Service Occupations,Male,30-44,"$150,000+",Some college or Associate degree,South Atlantic,0,2,5,3,1
135,Married,16-20 years,A few times per week,Homemaker,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,0,2,3,4,0
136,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,New England,0,3,4,5,1
137,Married,1-5 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,0,2,3,4,1
138,Married,11-15 years,Never,Legal Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific,0,2,4,5,1
139,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$150,000+",Graduate degree,Pacific,0,3,5,5,1
140,Married,More than 20 years,Never,Legal Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
141,Married,More than 20 years,Never,Legal Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,Mountain,0,3,4,4,1
142,"Single, but cohabiting with a significant other",6-10 years,Never,Transportation and Materials Moving Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3,1
143,Married,11-15 years,Never,Management Occupations,Male,18-29,"$50,000 - $99,999",High school degree,West South Central,0,1,3,2,1
144,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain,0,3,3,5,1
145,"Single, but cohabiting with a significant other",6-10 years,Never,disabled,Male,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic,0,3,2,4,1
146,Married,More than 20 years,A few times per month,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,0,3,4,3,0
147,"Single, but cohabiting with a significant other",11-15 years,Once a month or less,Community and Social Service Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,3,4,3,0
148,Married,11-15 years,A few times per month,Construction and Extraction Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain,0,2,3,3,0
149,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,Did not disclose,Bachelor degree,New England,0,3,0,4,1
150,"Single, but cohabiting with a significant other",1-5 years,Every night,Office and Administrative Support Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,3,2,4,0
151,Married,More than 20 years,Never,retired,Female,> 60,"$150,000+",Graduate degree,Middle Atlantic,1,4,5,5,1
152,Married,6-10 years,Never,Building and Grounds Cleaning and Maintenance Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,2,3,3,1
153,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$150,000+",Bachelor degree,Mountain,0,3,5,4,1
154,"Single, but cohabiting with a significant other",Less than 1 year,Never,Architecture and Engineering Occupations,Male,18-29,"$50,000 - $99,999",High school degree,Pacific,0,1,3,2,1
155,Married,More than 20 years,Never,Legal Occupations,Male,30-44,Did not disclose,Graduate degree,West South Central,0,2,0,5,1
156,Married,11-15 years,Once a year or less,Computer and Mathematical Occupations,Male,30-44,Did not disclose,Some college or Associate degree,East North Central,0,2,0,3,0
157,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,> 60,"$50,000 - $99,999",Bachelor degree,West North Central,1,4,3,4,0
158,Married,More than 20 years,Every night,Management Occupations,Male,45-60,"$150,000+",Bachelor degree,East North Central,0,3,5,4,0
159,Married,11-15 years,Never,Office and Administrative Support Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,3,3,3,1
160,"Single, but cohabiting with a significant other",More than 20 years,A few times per month,Community and Social Service Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,2,3,3,0
161,"Single, but cohabiting with a significant other",11-15 years,Once a year or less,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,2,3,5,0
162,Married,More than 20 years,Every night,Environmental consultants,Female,> 60,"$100,000 - $149,999",Bachelor degree,Pacific,1,4,4,4,0
163,Married,More than 20 years,Never,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
164,Married,More than 20 years,Every night,Office and Administrative Support Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,4,3,3,0
165,Married,11-15 years,Never,"Installation, Maintenance, and Repair Occupations",Male,30-44,Did not disclose,Some college or Associate degree,East North Central,0,2,0,3,1
166,In a domestic partnership or civil union,1-5 years,Never,Healthcare Support Occupations,Female,> 60,Did not disclose,Some college or Associate degree,South Atlantic,1,4,0,3,1
167,Married,11-15 years,Once a year or less,Architecture and Engineering Occupations,Male,45-60,Did not disclose,Bachelor degree,East South Central,0,3,0,4,0
168,Married,11-15 years,Every night,Securities compliance,Male,30-44,"$100,000 - $149,999",Graduate degree,New England,0,2,4,5,0
169,"Single, but cohabiting with a significant other",1-5 years,A few times per month,Computer and Mathematical Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,New England,0,3,4,4,0
170,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Legal Occupations,Male,45-60,"$150,000+",Graduate degree,Middle Atlantic,0,3,5,5,0
171,In a domestic partnership or civil union,6-10 years,A few times per week,Management Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic,1,4,4,5,0
172,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Production Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,0,1,3,4,0
173,Married,11-15 years,Never,Food Preparation and Serving Related Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,2,3,3,1
174,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central,0,2,2,3,1
175,Married,1-5 years,Never,Protective Service Occupations,Male,45-60,"$0 - $24,999",High school degree,New England,0,3,1,2,1
176,Married,More than 20 years,A few times per month,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
177,Married,More than 20 years,Once a month or less,Management Occupations,Male,45-60,"$150,000+",Bachelor degree,West North Central,0,3,5,4,0
178,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$25,000 - $49,999",Graduate degree,West North Central,1,4,2,5,1
179,Married,6-10 years,Once a year or less,Community and Social Service Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,New England,1,4,4,5,0
180,Married,6-10 years,Every night,police officer,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,3,3,3,0
181,Married,1-5 years,Once a year or less,law enforcement,Male,30-44,"$50,000 - $99,999",Bachelor degree,West North Central,0,2,3,4,0
182,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,New England,0,3,4,4,1
183,Divorced,1-5 years,Never,Food Preparation and Serving Related Occupations,Female,> 60,Did not disclose,High school degree,New England,1,4,0,2,1
184,Married,16-20 years,Never,Community and Social Service Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,0,3,3,4,1
185,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,4,3,4,1
186,"Single, but cohabiting with a significant other",6-10 years,Every night,Management Occupations,Female,> 60,Did not disclose,Some college or Associate degree,Pacific,1,4,0,3,0
187,Married,More than 20 years,Every night,Management Occupations,Female,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,4,3,4,0
188,Married,More than 20 years,Every night,unemployed and looking for work,Male,45-60,Did not disclose,Graduate degree,West South Central,0,3,0,5,0
189,Married,More than 20 years,Once a month or less,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,3,4,3,0
